lat,lon,leng,color
36.921181,-2.665073,es,blue
27.63775,-18.160695,en,yellow
43.240681,-8.37705,fr,magenta
42.866155,-3.52184,es,blue
40.619939,-2.988379,es,blue
41.505637,2.109915,es,blue
42.863887,-1.757014,es,blue
36.914187,-2.737685,es,blue
42.697814,-1.724087,es,blue
40.606322,-5.737141,es,blue
38.170736,-1.466812,es,blue
37.964799,-3.31813,es,blue
40.441208,-4.128082,es,blue
41.622021,-4.345533,es,blue
41.495012,1.854238,pt,black
28.154696,-16.839893,es,blue
41.567806,1.076853,es,blue
42.238997,-1.857774,ca,aquamarine
42.116112,2.493934,ca,aquamarine
39.141404,-3.473332,en,yellow
40.54772,0.329221,ca,aquamarine
42.826207,-1.61583,es,blue
41.607568,-0.78015,es,blue
41.514936,1.826712,es,blue
42.251008,1.939885,ca,aquamarine
40.580792,-3.593641,es,blue
42.52079,-6.170365,es,blue
39.283722,-2.6041,en,yellow
37.582089,-5.620597,es,blue
42.010552,2.22924,ca,aquamarine
41.841107,3.096196,es,blue
41.549118,-1.339483,es,blue
37.348828,-6.048801,es,blue
38.185068,-5.305003,es,blue
38.753318,-6.357858,es,blue
38.926375,1.283573,es,blue
39.722057,-0.277745,ca,aquamarine
40.592038,-3.294308,es,blue
40.133132,-4.168056,es,blue
41.733999,1.765737,fr,magenta
41.575474,2.37561,es,blue
28.008584,-16.641266,en,yellow
36.893212,-5.67948,es,blue
39.725034,2.615673,ca,aquamarine
40.935047,0.774798,ca,aquamarine
43.48611,-7.750068,es,blue
41.998818,2.799222,ca,aquamarine
42.318121,-8.752745,en,yellow
41.730138,2.614796,ca,aquamarine
38.645364,-1.541757,es,blue
42.422067,-7.731217,es,blue
41.772808,2.750853,ca,aquamarine
37.373814,-2.343879,es,blue
28.371098,-16.508044,es,blue
37.089661,-6.896989,en,yellow
43.174838,-2.525455,es,blue
36.686186,-4.778948,es,blue
37.072856,-4.731876,es,blue
41.355154,1.996917,es,blue
36.58974,-4.832718,es,blue
40.097464,-0.679429,es,blue
39.127557,-4.174392,pt,black
41.129766,1.143981,es,blue
42.053425,2.780927,en,yellow
42.429779,-3.531629,pt,black
41.460653,2.260015,ca,aquamarine
37.355504,-6.604428,es,blue
41.958189,2.754067,es,blue
41.065921,1.093585,es,blue
36.794541,-5.525189,en,yellow
39.649197,2.647391,es,blue
41.635333,2.230713,es,blue
39.511004,-0.449657,pt,black
39.404216,-2.147668,es,blue
41.132369,1.361148,ca,aquamarine
39.542557,-0.554434,en,yellow
42.062238,0.131599,fr,magenta
41.430667,1.637545,es,blue
41.801722,1.911332,es,blue
36.693395,-4.327729,es,blue
43.437479,-5.216573,es,blue
38.544261,-6.880212,es,blue
40.508581,-3.483236,it,green
37.944431,-1.834427,es,blue
37.238444,-3.250273,es,blue
43.064509,-2.34187,es,blue
41.78517,2.608005,es,blue
40.733308,0.234083,es,blue
41.506998,1.936785,ca,aquamarine
39.544986,-0.332575,en,yellow
41.341693,0.360174,ca,aquamarine
37.106508,-3.7575,ca,aquamarine
36.128275,-6.053662,es,blue
42.191912,-2.930881,es,blue
28.270926,-16.795309,es,blue
42.634837,-3.495929,ca,aquamarine
40.64641,-2.723275,es,blue
38.961844,-0.165908,es,blue
37.139808,-3.564333,es,blue
37.621101,-6.795399,es,blue
38.068059,-1.278104,es,blue
37.210149,-3.625588,es,blue
39.172747,-3.185065,es,blue
38.857496,-0.163898,es,blue
36.803985,-3.489228,en,yellow
40.052898,-3.878336,es,blue
42.714016,-8.683636,es,blue
38.097909,-0.780536,en,yellow
37.629633,-1.340574,en,yellow
43.491527,-6.369096,fr,magenta
38.701063,-5.829869,en,yellow
38.039689,-1.105192,ca,aquamarine
41.607201,-1.692137,es,blue
42.53799,-2.912466,es,blue
42.839901,-5.219454,es,blue
38.007412,-6.622589,es,blue
39.913482,-2.687335,it,green
37.247469,-5.869097,es,blue
39.197453,-0.403857,es,blue
36.845896,-4.184048,es,blue
41.218715,1.722105,es,blue
42.071837,-8.453456,es,blue
42.106202,2.747172,ca,aquamarine
43.285462,-2.99291,es,blue
42.316293,-1.898572,ca,aquamarine
39.721546,-3.818562,es,blue
39.693691,2.824775,es,blue
40.46013,-2.826164,es,blue
39.90354,-6.774889,es,blue
